channel,region,category,notes
eadaily,na,industry_energy,Energy-focused Eurasia Daily coverage of refinery outages export bans regulatory caps
neftegazchannel,na,industry_energy,Industry outlet on refinery runs wholesaler allocations and regulatory changes
rbc_news,na,national_news,Nationwide RBC newsroom reporting on retail fuel prices and emergency measures
kommersant,na,national_business,National business daily highlighting refining maintenance quotas and logistics
vedomosti,na,national_business,Vedomosti reports on subsidies demurrage issues and retail stock levels
tass_agency,na,official_wire,Official TASS wire relaying ministry communiques on fuel supply and rationing
telerzd,na,logistics,Official RZD channel for rail logistics and tank car availability updates queues and rationing decrees
rosavtodor,na,logistics_official,Federal Road Agency notices on trucking restrictions depot supply and detours
agroinvestor,na,agriculture,Agricultural trade outlet covering diesel availability during sowing and harvest
kuban24,krasnodar,regional_news,Kuban 24 regional newsroom flagging Krasnodar AZS queues and rationing enforcement
truckers_club,na,logistics_trucking,Community channel for Dalnoboy truckers discussing fuel and roads
benzin95tmn,tyumen,logistics_fuel,Regional fuel delivery service posting real prices in Tyumen
neftegaz_ru,na,industry_energy,Oil and Gas industry news and analysis
benzine_ru,na,industry_fuel,Specific channel for gasoline market and pricing
toplivo_ru,na,industry_fuel,Fuel market trading and wholesale prices
ati_news,na,logistics_market,Freight exchange news and logistics rates
maksdalnobo,na,logistics_trucking,Major trucker community channel
mash,na,national_news,High volume breaking news and incidents
shot_shot,na,national_news,Real-time incidents and shortages
readovkanews,na,national_news,Major news aggregator
ria,na,official_wire,RIA Novosti state news agency
astrapress,na,national_news,Independent news coverage including economic stress
